Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-messagedefinitions-json,1,1,0
Cross.list-byid-messagedefinitions-xml,1,1,0
Cross.list-byid-messageheaders,1,0,0
Cross.list-byid-messageheaders-json,1,0,0
Cross.list-byid-messageheaders-xml,1,0,0
Cross.list-byid-molecularsequences,1,0,0
Cross.list-byid-molecularsequences-json,1,0,0
Cross.list-byid-molecularsequences-xml,1,1,0
Cross.list-byid-namingsystems,1,0,0
Cross.list-byid-namingsystems-json,1,0,0
Cross.list-byid-namingsystems-xml,1,0,0
Cross.list-byid-nutritionorders,1,0,0
Cross.list-byid-nutritionorders-json,1,0,0
Cross.list-byid-nutritionorders-xml,1,0,0
Cross.list-byid-observationdefinitions,1,0,0
Cross.list-byid-observationdefinitions-json,1,0,0
Cross.list-byid-observationdefinitions-xml,1,1,0
Cross.list-byid-observations,1,0,991
Cross.list-byid-observations-json,1,0,1016
Cross.list-byid-observations-xml,1,1,1011
Cross.list-byid-operationdefinitions,1,0,0
Cross.list-byid-operationdefinitions-json,1,1,0
Cross.list-byid-operationdefinitions-xml,1,1,0
Cross.list-byid-operationoutcomes,1,0,0
Cross.list-byid-operationoutcomes-json,1,1,0
Cross.list-byid-operationoutcomes-xml,1,1,0
Cross.list-byid-organizationaffiliations,1,0,0
Cross.list-byid-organizationaffiliations-json,1,0,0
Cross.list-byid-organizationaffiliations-xml,1,0,0
Cross.list-byid-organizations,1,0,1132
Cross.list-byid-organizations-json,1,0,1182
Cross.list-byid-organizations-xml,1,0,1172
Cross.list-byid-parameters,1,0,0
Cross.list-byid-parameters-json,1,0,0
Cross.list-byid-parameters-xml,1,0,0
Cross.list-byid-patients,1,1,3126
Cross.list-byid-patients-json,1,1,3221
Cross.list-byid-patients-xml,1,2,3202
Cross.list-byid-paymentnotices,1,0,0
Cross.list-byid-paymentnotices-json,1,0,0
Cross.list-byid-paymentnotices-xml,1,0,0
Cross.list-byid-paymentreconciliations,1,0,0
Cross.list-byid-paymentreconciliations-json,1,1,0
Cross.list-byid-paymentreconciliations-xml,1,1,0
Cross.list-byid-people,1,0,0
Cross.list-byid-people-json,1,0,0
Cross.list-byid-people-xml,1,0,0
Cross.list-byid-plandefinitions,1,0,0
Cross.list-byid-plandefinitions-json,1,0,0
Cross.list-byid-plandefinitions-xml,1,0,0
Cross.list-byid-practitionerroles,1,1,835
Cross.list-byid-practitionerroles-json,1,1,860
Cross.list-byid-practitionerroles-xml,1,1,855
Cross.list-byid-practitioners,1,0,972
Cross.list-byid-practitioners-json,1,1,1002
Cross.list-byid-practitioners-xml,1,1,996
Cross.list-byid-procedures,1,0,438
Cross.list-byid-procedures-json,1,0,453
Cross.list-byid-procedures-xml,1,1,450
Cross.list-byid-provenances,1,0,0
Cross.list-byid-provenances-json,1,0,0
Cross.list-byid-provenances-xml,1,0,0
Cross.list-byid-questionnaireresponses,1,0,0
Cross.list-byid-questionnaireresponses-json,1,0,0
Cross.list-byid-questionnaireresponses-xml,1,1,0
Cross.list-byid-questionnaires,1,0,0
Cross.list-byid-questionnaires-json,1,0,0
Cross.list-byid-questionnaires-xml,1,0,0
Cross.list-byid-relatedpeople,1,0,832
Cross.list-byid-relatedpeople-json,1,0,857
Cross.list-byid-relatedpeople-xml,1,0,852
Cross.list-byid-requestgroups,1,0,0
Cross.list-byid-requestgroups-json,1,0,0
Cross.list-byid-requestgroups-xml,1,1,0
Cross.list-byid-requirements,1,0,0
Cross.list-byid-requirements-json,1,0,0
Cross.list-byid-requirements-xml,1,0,0
Cross.list-byid-researchdefinitions,1,0,0
Cross.list-byid-researchdefinitions-json,1,0,0
Cross.list-byid-researchdefinitions-xml,1,0,0
Cross.list-byid-researchelementdefinitions,1,0,0
Cross.list-byid-researchelementdefinitions-json,1,0,0
Cross.list-byid-researchelementdefinitions-xml,1,0,0
Cross.list-byid-researchstudies,1,0,0
Cross.list-byid-researchstudies-json,1,0,0
Cross.list-byid-researchstudies-xml,1,1,0
Cross.list-byid-researchsubjects,1,0,0
Cross.list-byid-researchsubjects-json,1,0,0
Cross.list-byid-researchsubjects-xml,1,0,0
Cross.list-byid-riskassessments,1,0,0
Cross.list-byid-riskassessments-json,1,1,0
Cross.list-byid-riskassessments-xml,1,1,0
Cross.list-byid-riskevidencesyntheses,1,0,0
Cross.list-byid-riskevidencesyntheses-json,1,0,0
Cross.list-byid-riskevidencesyntheses-xml,1,0,0
Cross.list-byid-schedules,1,0,0
Cross.list-byid-schedules-json,1,1,0
Cross.list-byid-schedules-xml,1,1,0
Cross.list-byid-searchparameters,1,0,862
Cross.list-byid-searchparameters-json,1,1,882
Cross.list-byid-searchparameters-xml,1,1,878
Cross.list-byid-servicerequests,1,1,373
Cross.list-byid-servicerequests-json,1,1,383
Cross.list-byid-servicerequests-xml,1,1,381
Cross.list-byid-slots,1,0,0
Cross.list-byid-slots-json,1,1,0
Cross.list-byid-slots-xml,1,1,0
Cross.list-byid-specimen,1,0,134
Cross.list-byid-specimen-json,1,0,139
Cross.list-byid-specimen-xml,1,0,138
Cross.list-byid-specimendefinitions,1,0,0
Cross.list-byid-specimendefinitions-json,1,0,0
Cross.list-byid-specimendefinitions-xml,1,0,0
Cross.list-byid-structuredefinitions,1,18,59942
Cross.list-byid-structuredefinitions-json,1,19,60487
